pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
t2        	ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20090422154454619_95_S66580_I142383.nii.gzConfidences: 17.63,  2.20, 80.17
pd        	ADNI_002_S_2010_MR_MPRAGE_br_raw_20110122171028174_96_S98069_I213880.nii.gzConfidences: 66.65, 21.34, 12.00
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20061114142638656_1_S22475_I29524.nii.gzConfidences: 24.52, 14.32, 61.16
t1        	ADNI_003_S_5130_MR_Axial_T2-FSE_WITH_Fat_Sat__br_raw_20170106124914435_41_S525411_I806655.nii.gzConfidences: 37.74, 46.77, 15.49
t2        	ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20070514162441359_1_S32193_I54356.nii.gzConfidences: 19.35,  7.67, 72.97
pd        	ADNI_128_S_2057_MR_MPRAGE_br_raw_20101220152933614_90_S96859_I209262.nii.gzConfidences: 73.90, 23.65,  2.45
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20080721130224267_25_S53685_I113607.nii.gzConfidences: 34.80,  3.60, 61.61
pd        	ADNI_012_S_0689_MR_MPRAGE_br_raw_20070727165421156_55_S36500_I62542.nii.gzConfidences: 79.39, 11.26,  9.35
t1        	ADNI_021_S_4857_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140729093152374_3_S226245_I437454.nii.gzConfidences: 46.93, 49.81,  3.26
t2        	ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20080808154856424_1_S55169_I115790.nii.gzConfidences: 29.07, 12.30, 58.63
t2        	ADNI_127_S_5185_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130827161715121_35_S199465_I387694.nii.gzConfidences: 34.93, 28.78, 36.29
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20110415144208201_154_S104401_I227865.nii.gzConfidences: 85.26, 12.00,  2.74
t2        	ADNI_094_S_1164_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080108123522241_1_S44405_I86769.nii.gzConfidences: 27.99,  9.86, 62.15
pd        	ADNI_099_S_4480_MR_MPRAGE_br_raw_20120524072732558_61_S151485_I306249.nii.gzConfidences: 69.00, 22.50,  8.50
t2        	ADNI_094_S_2201_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20150203145438798_33_S247412_I471764.nii.gzConfidences: 32.94, 25.70, 41.36
t2        	ADNI_027_S_5169_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130522175431618_38_S190354_I373598.nii.gzConfidences: 29.50, 27.54, 42.96
t2        	ADNI_027_S_4926_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131009203756136_9_S203575_I394035.nii.gzConfidences: 38.12, 21.30, 40.58
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20080319102835031_98_S47270_I98972.nii.gzConfidences: 74.46, 25.39,  0.16
t2        	ADNI_137_S_0722_MR_Axial_PD_T2_FSE__br_raw_20070228130413654_1_S27253_I41836.nii.gzConfidences: 13.31,  4.48, 82.21
pd        	ADNI_067_S_0029_MR_MPRAGE_br_raw_20051014123058512_23_S9904_I8022.nii.gzConfidences: 75.60, 15.34,  9.06
t2        	ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20070104122651553_1_S24644_I35169.nii.gzConfidences: 25.30, 13.00, 61.70
pd        	ADNI_011_S_0856_MR_MPRAGE_br_raw_20060919123059643_1_S19031_I24603.nii.gzConfidences: 87.28,  8.03,  4.69
pd        	ADNI_072_S_4226_MR_MPRAGE_br_raw_20130607160428578_1_S191718_I375656.nii.gzConfidences: 63.65, 30.35,  5.99
pd        	ADNI_041_S_4513_MR_MPRAGE_br_raw_20120521171509111_1_S151167_I305627.nii.gzConfidences: 73.00, 25.91,  1.09
pd        	ADNI_006_S_4960_MR_MPRAGE_br_raw_20121009153309571_118_S170218_I339124.nii.gzConfidences: 66.28, 11.50, 22.22
pd        	ADNI_123_S_2363_MR_MPRAGE_br_raw_20110803200812984_22_S117345_I248569.nii.gzConfidences: 68.11, 14.62, 17.27
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20140723160420144_61_S224652_I435006.nii.gzConfidences: 74.42, 21.38,  4.19
pd        	ADNI_032_S_0147_MR____________MPRAGE__br_raw_20070221181940569_1_S26883_I41234.nii.gzConfidences: 71.86, 15.80, 12.34
pd        	ADNI_067_S_4184_MR_MPRAGE_br_raw_20120323114718137_36_S144601_I292453.nii.gzConfidences: 50.99, 37.28, 11.73
pd        	ADNI_036_S_4714_MR_MPRAGE_br_raw_20120522093218949_31_S150197_I303274.nii.gzConfidences: 63.93, 21.68, 14.39
t2        	ADNI_027_S_5169_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150605141552765_10_S262122_I495960.nii.gzConfidences: 27.58, 28.49, 43.93
t2        	ADNI_027_S_5169_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130828093517727_42_S199501_I387850.nii.gzConfidences: 29.54, 24.82, 45.64
t2        	ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20080425135406486_1_S49317_I103997.nii.gzConfidences: 20.33,  1.81, 77.86
pd        	ADNI_128_S_4571_MR_MPRAGE_br_raw_20121119131624302_65_S175024_I347246.nii.gzConfidences: 72.95, 23.09,  3.96
t2        	ADNI_128_S_0522_MR_FSE_PD_T2__br_raw_20060521180939107_13_S14790_I15817.nii.gzConfidences: 17.39,  5.38, 77.23
pd        	ADNI_041_S_0679_MR_MPRAGE_br_raw_20070814092203359_98_S37276_I67547.nii.gzConfidences: 74.78,  5.91, 19.31
pd        	ADNI_072_S_4063_MR_MPRAGE_br_raw_20120627131934169_67_S155700_I313063.nii.gzConfidences: 73.20, 21.72,  5.08
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20061108105649024_1_S22233_I29139.nii.gzConfidences: 24.71, 13.15, 62.14
pd        	ADNI_012_S_4094_MR_MPRAGE_br_raw_20110708124142124_10_S114032_I243881.nii.gzConfidences: 68.10, 20.30, 11.60
pd        	ADNI_067_S_1253_MR_MPRAGE_br_raw_20070918092448786_98_S39399_I73490.nii.gzConfidences: 84.03, 15.65,  0.32
pd        	ADNI_019_S_5019_MR_MPRAGE_br_raw_20130515161809280_66_S189496_I372477.nii.gzConfidences: 76.28, 15.61,  8.11
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20090327205547015_98_S65197_I140028.nii.gzConfidences: 82.34, 11.66,  6.00
t2        	ADNI_033_S_1309_MR_Axial_PD_T2_FSE__br_raw_20080904095033485_63_S56169_I117391.nii.gzConfidences: 27.91, 11.70, 60.38
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20081106115326828_1_S58398_I125396.nii.gzConfidences: 34.26,  3.70, 62.04
t2        	ADNI_005_S_0602_MR_Axial_PD_T2_FSE__br_raw_20060629121536573_1_S15964_I17679.nii.gzConfidences: 17.66,  4.59, 77.75
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20070611125448937_86_S33393_I56652.nii.gzConfidences: 65.60, 34.36,  0.04
pd        	ADNI_011_S_4235_MR_MPRAGE_br_raw_20111219125453994_7_S133813_I273063.nii.gzConfidences: 84.47, 13.92,  1.61
pd        	ADNI_041_S_4989_MR_MPRAGE_br_raw_20131028093019106_41_S204928_I396060.nii.gzConfidences: 56.63, 19.02, 24.35
pd        	ADNI_072_S_4226_MR_MPRAGE_br_raw_20110926095426702_145_S123327_I257895.nii.gzConfidences: 68.41, 20.84, 10.74
t2        	ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20070608130013135_1_S33269_I56447.nii.gzConfidences: 30.39,  6.69, 62.91
t2        	ADNI_029_S_4385_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140423172401337_9_S216934_I421499.nii.gzConfidences: 31.44, 24.49, 44.07
pd        	ADNI_006_S_4960_MR_MPRAGE_br_raw_20151116142110440_87_S308849_I554367.nii.gzConfidences: 59.00, 15.65, 25.35
pd        	ADNI_073_S_4259_MR_MPRAGE_br_raw_20111007172722225_140_S124875_I260209.nii.gzConfidences: 58.68, 35.20,  6.12
t2        	ADNI_027_S_2245_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130122110030872_16_S180565_I355650.nii.gzConfidences: 20.89, 24.49, 54.63
t2        	ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20061108155616714_25_S22249_I29163.nii.gzConfidences: 29.93, 11.86, 58.21
t2        	ADNI_029_S_0843_MR_Axial_PD_T2_FSE__br_raw_20060914163004070_1_S18906_I24403.nii.gzConfidences: 38.59,  6.57, 54.83
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20061211202217275_86_S23807_I32605.nii.gzConfidences: 54.19, 45.07,  0.74
t1        	ADNI_094_S_4630_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20160601110335878_40_S453582_I722099.nii.gzConfidences: 36.44, 42.14, 21.42
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20070822165011777_29_S38124_I69890.nii.gzConfidences: 30.34,  7.71, 61.95
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20140724102859326_37_S225729_I436537.nii.gzConfidences: 36.73,  4.05, 59.21
pd        	ADNI_018_S_2133_MR_MPRAGE_br_raw_20121220112015865_25_S178284_I352430.nii.gzConfidences: 55.24, 17.63, 27.12
t2        	ADNI_131_S_0691_MR_Axial_PD_T2_FSE__br_raw_20070212160530164_1_S26379_I39500.nii.gzConfidences: 43.46,  9.77, 46.77
pd        	ADNI_033_S_5087_MR_MPRAGE_br_raw_20130214134809469_115_S182326_I359743.nii.gzConfidences: 75.77, 23.86,  0.37
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20070608144229218_1_S33299_I56497.nii.gzConfidences: 25.66,  2.67, 71.68
t2        	ADNI_127_S_4210_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20161005082214211_19_S503379_I781040.nii.gzConfidences: 31.14, 29.37, 39.50
pd        	ADNI_013_S_2389_MR_MPRAGE_br_raw_20120224115824165_138_S141701_I286423.nii.gzConfidences: 45.13, 37.76, 17.11
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20060325153751305_1_S12460_I12422.nii.gzConfidences: 32.84,  8.21, 58.95
pd        	ADNI_073_S_0652_MR_MPRAGE_br_raw_20061128112810164_98_S22998_I30649.nii.gzConfidences: 77.21, 12.47, 10.32
pd        	ADNI_072_S_2116_MR_MPRAGE_br_raw_20110426095814195_114_S105120_I228927.nii.gzConfidences: 74.54, 24.75,  0.71
t2        	ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20060601171830905_1_S15122_I16350.nii.gzConfidences: 25.24,  9.01, 65.75
pd        	ADNI_035_S_4414_MR_MPRAGE_br_raw_20130319165528207_64_S184753_I363749.nii.gzConfidences: 52.66, 44.87,  2.48
t2        	ADNI_052_S_1054_MR_Axial_PD_T2_FSE__br_raw_20061128113129125_1_S22953_I30579.nii.gzConfidences: 42.09,  3.46, 54.46
t2        	ADNI_031_S_0830_MR_FSE_PD_T2__br_raw_20060913152724140_1_S18848_I24283.nii.gzConfidences: 13.25,  6.41, 80.34
pd        	ADNI_067_S_2304_MR_MPRAGE_br_raw_20120301151926068_157_S142256_I287405.nii.gzConfidences: 60.74, 30.88,  8.39
pd        	ADNI_141_S_1378_MR_MPRAGE_br_raw_20080428152640208_98_S49400_I104130.nii.gzConfidences: 82.77, 13.08,  4.15
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20060305150202859_95_S11963_I11614.nii.gzConfidences: 21.49,  3.59, 74.92
t2        	ADNI_094_S_4434_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20160204161325142_20_S366271_I621452.nii.gzConfidences: 29.79, 34.99, 35.22
t1        	ADNI_021_S_4419_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20140109141614160_18_S209824_I404184.nii.gzConfidences: 30.78, 55.90, 13.32
pd        	ADNI_002_S_2073_MR_MPRAGE_br_raw_20100908060239351_35_S91784_I192256.nii.gzConfidences: 58.98, 17.61, 23.42
pd        	ADNI_128_S_4599_MR_MPRAGE_br_raw_20121018160343003_72_S171406_I341153.nii.gzConfidences: 69.95, 25.73,  4.31
pd        	ADNI_067_S_4310_MR_MPRAGE_br_raw_20111027143057676_114_S126650_I262839.nii.gzConfidences: 68.75, 26.89,  4.36
pd        	ADNI_013_S_4768_MR_MPRAGE_br_raw_20120801103027124_3_S158080_I316960.nii.gzConfidences: 64.06, 16.34, 19.60
pd        	ADNI_035_S_4256_MR_MPRAGE_br_raw_20120705152016862_136_S156818_I315174.nii.gzConfidences: 70.94, 21.64,  7.42
pd        	ADNI_073_S_4552_MR_MPRAGE_br_raw_20121010091903276_136_S170312_I339298.nii.gzConfidences: 71.05, 26.51,  2.44
t2        	ADNI_027_S_1385_MR_Axial_PD_T2_FSE__br_raw_20070314200227905_1_S28131_I44776.nii.gzConfidences: 32.79, 13.55, 53.66
pd        	ADNI_116_S_4199_MR_MPRAGE_br_raw_20151022171804757_58_S290376_I532734.nii.gzConfidences: 78.17, 18.41,  3.42
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20080721130359989_9_S53684_I113606.nii.gzConfidences: 26.87,  5.22, 67.90
pd        	ADNI_036_S_4562_MR_MPRAGE_br_raw_20120417095419579_52_S147071_I297185.nii.gzConfidences: 84.86, 11.94,  3.20
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20070910084037467_1_S39029_I72045.nii.gzConfidences: 34.73, 12.49, 52.78
pd        	ADNI_068_S_4914_MR_MPRAGE_br_raw_20120905095904905_31_S166046_I330203.nii.gzConfidences: 71.84, 23.73,  4.43
pd        	ADNI_009_S_4324_MR_MPRAGE_br_raw_20120515192430187_40_S150517_I304421.nii.gzConfidences: 65.29, 34.58,  0.13
pd        	ADNI_002_S_1155_MR_MPRAGE_br_raw_20121227104653698_45_S178671_I352951.nii.gzConfidences: 73.55, 11.05, 15.39
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20131017074024025_99_S204057_I394728.nii.gzConfidences: 81.46, 18.18,  0.36
pd        	ADNI_072_S_4941_MR_MPRAGE_br_raw_20150506151003087_68_S257843_I489877.nii.gzConfidences: 79.66, 16.52,  3.82
pd        	ADNI_011_S_2274_MR_MPRAGE_br_raw_20110204092059559_173_S98923_I215813.nii.gzConfidences: 76.58,  8.17, 15.25
t2        	ADNI_094_S_4858_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20161123084509245_42_S515318_I795299.nii.gzConfidences: 14.46, 34.95, 50.60
t2        	ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_raw_20081008145553093_19_S57133_I119752.nii.gzConfidences: 22.68,  4.85, 72.47
pd        	ADNI_036_S_4715_MR_MPRAGE_br_raw_20120510083254746_63_S149765_I302655.nii.gzConfidences: 63.86, 30.46,  5.69
pd        	ADNI_013_S_4268_MR_MPRAGE_br_raw_20120606143107171_50_S152994_I308386.nii.gzConfidences: 61.90, 20.35, 17.75
pd        	ADNI_137_S_4623_MR_MPRAGE_br_raw_20120404113818340_130_S146005_I295426.nii.gzConfidences: 80.73, 14.18,  5.09
pd        	ADNI_003_S_0908_MR_MPRAGE_br_raw_20070522102630180_101_S32516_I54988.nii.gzConfidences: 79.85, 16.88,  3.27
pd        	ADNI_023_S_4502_MR_MPRAGE_br_raw_20160412110657596_169_S417003_I678770.nii.gzConfidences: 81.26, 18.09,  0.65
pd        	ADNI_130_S_4817_MR_MPRAGE_br_raw_20130123123944983_69_S180711_I355852.nii.gzConfidences: 74.41,  7.12, 18.47
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20070917153141707_95_S39334_I73381.nii.gzConfidences: 72.04, 21.40,  6.56
pd        	ADNI_073_S_0445_MR_MPRAGE_br_raw_20060620104230908_98_S15683_I17227.nii.gzConfidences: 78.92, 10.98, 10.11
pd        	ADNI_099_S_0958_MR_MPRAGE_br_raw_20061020114253046_98_S20494_I26822.nii.gzConfidences: 94.30,  4.76,  0.93
pd        	ADNI_128_S_0200_MR_MPRAGE_br_raw_20060914213729373_1_S18928_I24431.nii.gzConfidences: 68.02,  5.97, 26.01
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20070605152022272_1_S33047_I55987.nii.gzConfidences: 30.10, 12.47, 57.42
pd        	ADNI_133_S_0913_MR_MPRAGE_br_raw_20080116145828880_1_S44632_I87682.nii.gzConfidences: 66.91, 32.44,  0.65
pd        	ADNI_010_S_4135_MR_MPRAGE_br_raw_20110727182214824_55_S116397_I247207.nii.gzConfidences: 58.64, 16.71, 24.66
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20080722114138696_98_S53880_I113929.nii.gzConfidences: 68.76, 14.64, 16.60
t2        	ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20080303095720406_1_S46507_I94994.nii.gzConfidences: 20.11, 13.72, 66.17
pd        	ADNI_035_S_4256_MR_MPRAGE_br_raw_20120329125109533_127_S133408_I272337.nii.gzConfidences: 71.34, 25.96,  2.70
pd        	ADNI_035_S_4085_MR_MPRAGE_br_raw_20110707140147805_134_S113977_I243803.nii.gzConfidences: 73.18, 20.17,  6.64
pd        	ADNI_067_S_4310_MR_MPRAGE_br_raw_20121116121457901_52_S174810_I346957.nii.gzConfidences: 67.69, 20.81, 11.50
pd        	ADNI_018_S_2133_MR_MPRAGE_br_raw_20120124152407639_20_S138311_I280329.nii.gzConfidences: 52.04, 18.89, 29.06
pd        	ADNI_041_S_4513_MR_MPRAGE_br_raw_20160226085917434_9_S383485_I641043.nii.gzConfidences: 69.42, 29.73,  0.85
pd        	ADNI_012_S_4642_MR_MPRAGE_br_raw_20120411102800059_1_S146874_I296878.nii.gzConfidences: 54.74, 22.29, 22.97
pd        	ADNI_024_S_4169_MR_MPRAGE_br_raw_20130927175259867_48_S202418_I392473.nii.gzConfidences: 80.82,  6.58, 12.60
pd        	ADNI_128_S_2123_MR_MPRAGE_br_raw_20101026163320894_94_S93738_I199265.nii.gzConfidences: 82.78, 13.07,  4.15
t2        	ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_raw_20070315134159981_93_S28161_I44823.nii.gzConfidences: 13.73,  6.49, 79.77
t2        	ADNI_027_S_4926_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130314172909814_8_S184486_I363350.nii.gzConfidences: 22.76, 21.48, 55.76
pd        	ADNI_123_S_4127_MR_MPRAGE_br_raw_20110803202306537_20_S117357_I248584.nii.gzConfidences: 67.60, 27.86,  4.54
pd        	ADNI_073_S_5016_MR_MPRAGE_br_raw_20121025143537810_122_S172362_I342679.nii.gzConfidences: 68.19, 23.89,  7.93
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20081017131439606_1_S57589_I122016.nii.gzConfidences: 21.41,  6.49, 72.11
pd        	ADNI_037_S_4706_MR_MPRAGE_br_raw_20140512121321040_42_S218387_I424467.nii.gzConfidences: 72.14, 18.29,  9.56
pd        	ADNI_031_S_4194_MR_MPRAGE_br_raw_20130909132441859_46_S199919_I388691.nii.gzConfidences: 59.95, 23.36, 16.69
pd        	ADNI_072_S_2116_MR_MPRAGE_br_raw_20131106165008558_156_S205591_I397534.nii.gzConfidences: 80.26, 19.14,  0.60
t2        	ADNI_099_S_4480_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140320151711134_40_S214531_I417390.nii.gzConfidences: 21.45, 30.64, 47.91
t2        	ADNI_133_S_0727_MR_Axial_PD_T2_FSE__br_raw_20070315160251281_1_S28175_I44866.nii.gzConfidences: 30.24,  5.92, 63.84
pd        	ADNI_009_S_4324_MR_MPRAGE_br_raw_20111116230527734_63_S129810_I267163.nii.gzConfidences: 66.25, 33.28,  0.47
pd        	ADNI_037_S_4146_MR_MPRAGE_br_raw_20130923155524474_39_S201819_I391537.nii.gzConfidences: 65.95, 23.07, 10.98
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20130729120225230_153_S196806_I382924.nii.gzConfidences: 80.87, 11.43,  7.71
pd        	ADNI_131_S_5138_MR_MPRAGE_br_raw_20130710120123915_8_S194402_I379704.nii.gzConfidences: 70.01, 15.68, 14.31
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20071128142850343_1_S43076_I83608.nii.gzConfidences: 19.32,  5.80, 74.88
t2        	ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20061006154402262_1_S19844_I25941.nii.gzConfidences: 37.41, 10.95, 51.64
pd        	ADNI_041_S_1412_MR_MPRAGE_br_raw_20080729142019200_97_S54204_I114461.nii.gzConfidences: 90.29,  6.10,  3.61
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20100630103302843_71_S88434_I180706.nii.gzConfidences: 29.12, 10.70, 60.18
pd        	ADNI_019_S_4680_MR_MPRAGE_br_raw_20120425161952913_119_S148323_I300530.nii.gzConfidences: 60.65, 27.72, 11.63
t2        	ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20060905144630794_1_S18514_I23786.nii.gzConfidences: 20.30, 14.99, 64.70
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20101210121633472_37_S96244_I208148.nii.gzConfidences: 11.60,  9.91, 78.49
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20070129163823443_84_S25624_I37606.nii.gzConfidences: 77.54, 19.54,  2.92
t2        	ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20080425135341767_1_S49318_I103998.nii.gzConfidences: 20.02,  2.38, 77.61
pd        	ADNI_130_S_4982_MR_MPRAGE_br_raw_20130429175836003_162_S188331_I369298.nii.gzConfidences: 78.38, 16.24,  5.39
t2        	ADNI_006_S_0498_MR_Axial_PD_T2_FSE__br_raw_20061005155738687_1_S19761_I25789.nii.gzConfidences: 18.35,  6.94, 74.71
t2        	ADNI_037_S_0627_MR_FSE_PD_T2__br_raw_20070221134408585_1_S26828_I41155.nii.gzConfidences: 22.50,  2.77, 74.72
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20080612092713765_86_S51462_I109281.nii.gzConfidences: 61.76, 38.05,  0.19
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20080929184804848_1_S56794_I118539.nii.gzConfidences: 21.55, 20.47, 57.98
t2        	ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20070814103741301_1_S37299_I67583.nii.gzConfidences: 29.60,  7.05, 63.35
pd        	ADNI_141_S_4976_MR_MPRAGE_br_raw_20121016141822840_67_S171011_I340322.nii.gzConfidences: 75.16, 16.60,  8.23
pd        	ADNI_073_S_4360_MR_MPRAGE_br_raw_20160107154602976_160_S342166_I592789.nii.gzConfidences: 75.77, 19.57,  4.66
pd        	ADNI_014_S_4039_MR_MPRAGE_br_raw_20111208130220138_149_S132193_I270530.nii.gzConfidences: 68.01, 31.16,  0.83
t2        	ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_raw_20081008145519156_19_S57134_I119753.nii.gzConfidences: 16.97,  9.08, 73.95
pd        	ADNI_036_S_2378_MR_MPRAGE_br_raw_20110909132655736_91_S121636_I255341.nii.gzConfidences: 55.47, 39.48,  5.05
pd        	ADNI_067_S_5205_MR_MPRAGE_br_raw_20130617123032185_46_S192528_I376818.nii.gzConfidences: 69.47, 30.20,  0.33
pd        	ADNI_035_S_4414_MR_MPRAGE_br_raw_20120321124657982_56_S144404_I291472.nii.gzConfidences: 60.16, 36.12,  3.72
pd        	ADNI_014_S_4039_MR_MPRAGE_br_raw_20130626155646125_71_S193475_I378271.nii.gzConfidences: 74.24, 25.49,  0.27
t1        	ADNI_016_S_4952_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20130516082213994_15_S189581_I372577.nii.gzConfidences: 32.15, 47.54, 20.31
t2        	ADNI_128_S_0205_MR_FSE_PD_T2__br_raw_20060210123111096_1_S11576_I11009.nii.gzConfidences: 15.63,  5.37, 79.00
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20061024153707276_1_S20924_I27368.nii.gzConfidences: 17.75,  8.01, 74.25
t2        	ADNI_094_S_1397_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071120143343588_1_S42907_I82870.nii.gzConfidences: 33.23, 13.85, 52.92
t2        	ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20060629122554861_1_S15950_I17655.nii.gzConfidences: 25.81,  7.61, 66.58
pd        	ADNI_023_S_4448_MR_MPRAGE_br_raw_20120126104250776_22_S138556_I280812.nii.gzConfidences: 75.46, 14.59,  9.95
t1        	ADNI_127_S_4604_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130410155810130_11_S186600_I366395.nii.gzConfidences: 33.21, 41.34, 25.44
pd        	ADNI_041_S_4143_MR_MPRAGE_br_raw_20120905085855684_42_S166039_I330192.nii.gzConfidences: 68.54, 31.20,  0.26
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20080410161350916_1_S48616_I102185.nii.gzConfidences: 41.64,  9.27, 49.08
pd        	ADNI_072_S_4465_MR_MPRAGE_br_raw_20120515132937109_27_S150437_I304180.nii.gzConfidences: 65.70, 16.30, 18.00
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20080721121935451_21_S53675_I113592.nii.gzConfidences: 33.35,  4.51, 62.14
